Abromiškio atodanga;4314994364;563786.9587;6148710.327
Akmeninė užtvanka;3713676194;396674.9531;6241565.995
Akmenos apžvalgos aikštelė;5028700202;388202.8242;6142771.282
Akmenos – Jūros upių santaka;2370221555;387741.726;6136544.757
Aleksoto apžvalgos aikštelė;1013895687;492717.7233;6083944.852
Alytaus piliakalnio apžvalgos aikštelė;1134203199;505127.9284;6028871.461
Andruškonių atodanga;4966875764;506872.014;6098082.736
Apaščios ir Nemunėlio santaka;5844429476;547495.8178;6252171.345
Apušio apžvalgos aikštelė;5028214989;449246.1035;6164790.851
Apžvalgos aikštelė;6700273919;579101.3342;6062086.578
Apžvalgos aikštelė ant Tulkiaragės siurblinės stogo;5542271251;332212.6898;6138856.781
Apžvalgos aikštelė „Gairiakalnis“;3486143720;470112.2052;6077478.481
Apžvalgos aikštelė šalia Plokščių bažnyčios;5544859119;447204.8519;6105487.182
Apžvalgos aikštelė šalia Telšių bažnyčios;3872499795;391204.258;6206819.469
Apžvalgos aikštelė senojoje perkėloje;5178044391;319141.9859;6178373.622
Apžvalgos bokštas;3449141499;382158.0936;6133648.719
Apžvalgos bokštas;4692081010;308923.7137;6134019.811
Apžvalgos bokšteliai;3517028307;464109.223;6177839.375
Apžvalgos bokštelis;2068593691;324577.5639;6142889.375
Apžvalgos bokštelis;3373025183;437059.4762;6185606.418
Apžvalgos bokštelis Novaraisčio ornitologiniame draustinyje;3662663128;462605.3538;6089815.108
Apžvalgos ratas;4258095517;640944.0489;6179330.086
Apžvalgos vieta;4258220410;640165.5151;6179669.032
Artosios aukštapelkės apžvalgos aikštelė;5588109230;401993.8772;6116434.019
Atodanga;963718797;611987.0849;6082520.519
Atodanga;3238695453;605038.4451;6044500.792
Aukščiausia Anykščių apžvalgos aikštelė;4402505089;568484.1716;6155485.19
Aukštagirės apžvalgos bokštas;1316287393;394658.758;6165455.233
Abromiškio atodanga;4314994364;563786.9587;6148710.327
